Designator,Mid X,Mid Y,Rotation,Layer
BT1,131.141375,-99.141375,180.0,top
BT2,155.141375,-99.141375,180.0,top
C1,155.044026,-84.141375,180.0,top
C2,129.238724,-75.641375,0.0,top
D1,155.141375,-76.646375,90.0,top
Q1,136.641375,-75.781375,180.0,top
Q2,148.871375,-75.641375,180.0,top
R1,148.641375,-83.641375,90.0,top
R2,144.641375,-83.641375,90.0,top
R3,137.141375,-83.641375,90.0,top
R4,141.141375,-83.641375,90.0,top
R5,144.641375,-73.521375,90.0,top
R6,141.141375,-73.641375,90.0,top
SW1,144.0,-63.5,180.0,top
